objectid,title,classification,dated,artist,medium,department,image_path,image_url,embedding_idx
111124,River Landscape,painting,,,oil on copper,,./images/111124.jpg,"https://api.nga.gov/iiif/0ef454d7-7988-4044-81e3-38daf8dbf70e/full/!512,512/0/default.jpg",569
66418,Self-Portrait Dedicated to Carrière,painting,,,oil on canvas,,./images/66418.jpg,"https://api.nga.gov/iiif/315ba511-cff8-4cc9-bb69-cab94ecfe4c4/full/!512,512/0/default.jpg",570
1197,Head of Saint Matthew,painting,,,oil on panel,,./images/1197.jpg,"https://api.nga.gov/iiif/abb2963f-62ac-4cb6-a680-cb81755a8bcc/full/!512,512/0/default.jpg",571
46135,The Rest on the Flight into Egypt,painting,,,oil on panel,,./images/46135.jpg,"https://api.nga.gov/iiif/a23b9d89-97d2-4407-bfb2-143ccd7dc47d/full/!512,512/0/default.jpg",572
50463,Two Young Hyda Men,painting,,,oil on card mounted on paperboard,,./images/50463.jpg,"https://api.nga.gov/iiif/7f8f705c-8a0b-44ce-bc26-3da85b8d5b9b/full/!512,512/0/default.jpg",573
108,Miss Eleanor Urquhart,painting,,,oil on canvas,,./images/108.jpg,"https://api.nga.gov/iiif/53cb2ed9-1ed7-4ce3-b88f-d6bd51472456/full/!512,512/0/default.jpg",574
74,Portrait of a Woman Aged Sixty,painting,,,oil on canvas,,./images/74.jpg,"https://api.nga.gov/iiif/e54612e0-b093-41c7-ba14-cf92a4a6f976/full/!512,512/0/default.jpg",575
50337,Three Blackfoot Men,painting,,,oil on card mounted on paperboard,,./images/50337.jpg,"https://api.nga.gov/iiif/f10ea8cc-3daa-4d1b-9d3d-9eab6d0ea6ff/full/!512,512/0/default.jpg",576
195490,Old House at East Hampton,painting,,,oil on canvas,,./images/195490.jpg,"https://api.nga.gov/iiif/feacc066-4ff8-417c-b2be-f38de838e530/full/!512,512/0/default.jpg",577
344,The Coronation of the Virgin with Six Angels,painting,,,tempera on panel,,./images/344.jpg,"https://api.nga.gov/iiif/6114c95d-1c1a-4785-88d1-c138e246adeb/full/!512,512/0/default.jpg",578
45640,The Meeting of Abraham and Melchizedek,painting,,,oil on panel,,./images/45640.jpg,"https://api.nga.gov/iiif/5b1fe0fa-1bad-4820-a77e-586d8cfcd481/full/!512,512/0/default.jpg",579
166462,"Election Scene, Catonsville, Baltimore County",painting,,,oil on academy board,,./images/166462.jpg,"https://api.nga.gov/iiif/ac33ab88-45f9-4fe8-9ab5-1f0cfb1fea93/full/!512,512/0/default.jpg",580
41696,The Flagellation of Christ,painting,,,oil on panel,,./images/41696.jpg,"https://api.nga.gov/iiif/618a3d88-ccc6-4fbd-8fbd-0e1d671ace07/full/!512,512/0/default.jpg",581
52624,The Seine,painting,,,oil on canvas,,./images/52624.jpg,"https://api.nga.gov/iiif/ed0b70d3-a43b-4a00-89ac-657b7e396689/full/!512,512/0/default.jpg",582
166466,The House Maid,painting,,,oil on canvas,,./images/166466.jpg,"https://api.nga.gov/iiif/286ee8af-d946-4d2b-a7e5-7c4b6011e567/full/!512,512/0/default.jpg",583
46482,Portrait of an Elderly Lady,painting,,,oil on canvas,,./images/46482.jpg,"https://api.nga.gov/iiif/2af9c50c-0aab-41ef-999a-1ab213713b39/full/!512,512/0/default.jpg",584
42463,Boy in Blue,painting,,,oil on canvas,,./images/42463.jpg,"https://api.nga.gov/iiif/5387155a-6bff-40a9-90f4-b1950359b17e/full/!512,512/0/default.jpg",585
42467,Little Girl with Flower Basket,painting,,,oil on wood,,./images/42467.jpg,"https://api.nga.gov/iiif/0e5ffeec-831f-4d94-ab9c-7501713299a3/full/!512,512/0/default.jpg",586
206651,"High Bridge at Night, New York City",painting,,,oil on canvas,,./images/206651.jpg,"https://api.nga.gov/iiif/1751b321-4ea2-4253-aad6-82772d610e00/full/!512,512/0/default.jpg",587
219341,Still Life with Stoneware Jug and Pipe,painting,,,oil on panel,,./images/219341.jpg,"https://api.nga.gov/iiif/d4ae9a03-10e7-42dc-ad1e-788ce1becec1/full/!512,512/0/default.jpg",588
50305,James Cuthbert (?),painting,,,oil on canvas,,./images/50305.jpg,"https://api.nga.gov/iiif/d14f279b-be3e-43fd-b515-74704db6dde1/full/!512,512/0/default.jpg",589
43707,Captain Isaac Foster,painting,,,oil on bed ticking,,./images/43707.jpg,"https://api.nga.gov/iiif/8c4d005f-3477-40f1-8504-5949da1485dd/full/!512,512/0/default.jpg",590
61361,Coast of Brittany,painting,,,oil on canvas,,./images/61361.jpg,"https://api.nga.gov/iiif/3aabc076-e658-48c9-b48c-d6ce8a868bde/full/!512,512/0/default.jpg",591
488,Scenes from a Legend,painting,,,oil on canvas,,./images/488.jpg,"https://api.nga.gov/iiif/3bd14fe9-25bf-4bcb-b05f-d2ca7e802ca8/full/!512,512/0/default.jpg",592
62,The Smiling Girl,painting,,,oil on canvas,,./images/62.jpg,"https://api.nga.gov/iiif/53b11b32-8e95-41d4-bb53-a55931823419/full/!512,512/0/default.jpg",593
12208,Portrait of a Man with a Landscape View,painting,,,oil on canvas,,./images/12208.jpg,"https://api.nga.gov/iiif/397974ff-59f9-4a8a-a7af-daa99832b756/full/!512,512/0/default.jpg",594
50433,Three Micmac Indians,painting,,,oil on card mounted on paperboard,,./images/50433.jpg,"https://api.nga.gov/iiif/084450ec-ad00-4c87-8509-66df3dce8cb2/full/!512,512/0/default.jpg",595
